keyword,count,avg_points,normalized_col,parent,tooltip
Origin,,,,,
Cru,2275,0.5738461538461539,1.0,Origin,1
Premier,1300,0.5580384615384616,0.8845505617977529,Origin,1
sample,406,0.5529556650246306,0.8474290142248296,Origin,1
Grand,1303,0.5503069838833461,0.8280847137547745,Origin,1
Dr.,480,0.501875,0.47436797752808946,Origin,1
Louis,589,0.49770797962648555,0.4439346826653438,Origin,1
Blancs,478,0.4964435146443515,0.43469982605425234,Origin,1
Joseph,415,0.49578313253012046,0.42987681061323924,Origin,1
Block,642,0.49236760124610596,0.40493191921313326,Origin,1
Vineyard,12063,0.4905952084887673,0.39198747772695214,Origin,1
Riserva,1028,0.4904669260700389,0.39105058365758727,Origin,1
Père,459,0.480718954248366,0.3198575310273923,Origin,1
Hill,707,0.47885431400282885,0.30623937193077244,Origin,1
Ridge,533,0.47082551594746713,0.24760208276240037,Origin,1
Domaine,4505,0.4666592674805772,0.21717442541994567,Origin,1
Ranch,1074,0.46452513966480447,0.2015880986755382,Origin,1
Estate,2121,0.46334276284771336,0.19295276237094028,Origin,1
Noir,11840,0.4632939189189189,0.19259603704828418,Origin,1
della,419,0.4619331742243437,0.18265801399801587,Origin,1
Castello,533,0.4593808630393996,0.164017539051795,Origin,1
Vignes,630,0.4558730158730159,0.138398430533262,Origin,1
Single,466,0.45515021459227467,0.13311954477503973,Origin,1
Grown,1382,0.4466353111432706,0.0709320476755718,Origin,1
Tenuta,774,0.44599483204134366,0.06625439131318406,Origin,1
Cuvée,1029,0.44402332361516034,0.05185573426802498,Origin,1
Robert,499,0.443186372745491,0.04574317173673205,Origin,1
Creek,586,0.4399317406143345,0.02197338650918452,Origin,1
Château,7424,0.4394733297413793,0.018625441931422022,Origin,1
Reserve,2903,0.4388219083706511,0.01386787012273284,Origin,1
Brut,3226,0.4386546807191568,0.012646544578111586,Origin,1
